Estimates,Value
Accommodation services,459132
Air transport,496955
Alcoholic beverage services,528285
Alcoholic beverages,938425
Alcoholic beverages and tobacco,1712655
Audio-visual and photographic equipment,451061
Books,145617
"Cable, satellite and other program distribution services",332751
Carpets and other floor coverings,35754
Child care services in the home,72757
Child care services outside the home,198453
Cinemas,54452
Cleaning of clothing,92693
Clothing and footwear,2181416
"Clothing materials, other articles of clothing and clothing accessories",193726
Communications,1050113
Education,581488
Electrical appliances for personal care,27627
Electricity,876664
"Equipment for sport, camping and open-air recreation",231063
Expenditure by Canadians abroad,1532456
Expenditure by Canadians in other provinces or territories,494575
Expenditure by Canadians residing in other provinces or territories,-494579
Expenditure by non-residents in Canada,-1103152
Food,3966590
Food and non-alcoholic beverage services,2255886
Food and non-alcoholic beverages,4471985
"Food, beverage and accommodation services",3243715
Footwear,307809
Fuels and lubricants,1643455
"Furnishings, household equipment and other goods and services related to the dwelling and property",2645769
Furniture and furnishings,731512
Games of chance,701912
"Games, toys and hobbies",241787
"Garden products, plants and flowers",153981
Garments,1586583
Gas,345156
Health,1684634
Health insurance,258223
Hospital services,112987
Household textiles,157849
"Housing, water, electricity, gas and other fuels",10732923
Implicit deposit charges,563732
Implicit loan charges,578185
Imputed rental fees for housing,6607596
Information processing equipment,173119
Insurance and financial services,3763695
Insurance related to transport,304381
"Jewellery, clocks and watches",205314
Legal and other services,326233
Life insurance,496136
Maintenance and repair of vehicles,403562
Major durables for outdoor recreation,296390
Major household appliances,271571
Major tools and equipment,141342
Materials for the maintenance and repair of the dwelling,126956
Miscellaneous goods and services,2336403
Miscellaneous printed matter and stationery and drawing materials,100679
Musical instruments and major durables for indoor recreation,59508
Mutual funds,594664
Net expenditure abroad,429265
New passenger cars,1093344
"New trucks, vans and sport utility vehicles",1088366
Newspapers and periodicals,130799
Non-alcoholic beverages,505188
Other actual financial charges,564293
"Other appliances, articles and products for personal care",643080
Other cultural services,114563
Other education,312906
Other fuels,200868
Other non-durable household goods,357583
Other personal effects,134530
Other semi-durable household goods,297422
Other services related to the dwelling and property,185898
Other services related to the operation of transport equipment,77973
Other social services and funeral services,354497
Other transport services,112473
Other vehicles,112927
Out-patient services,722122
Paid rental fees for housing,2324504
Parking,96985
Passenger vehicle renting,54653
Personal grooming services,372259
Pets and pet food,162720
Pharmaceutical products and other medical products,701182
Photographic services,59242
Postal services,67664
Property insurance,86753
Railway and water transport,32256
Recording media,146312
Recreation and culture,4062009
Recreational and sporting services,408386
Renting and leasing of personal and household goods except passenger vehicles,145624
Repair of personal and household goods except vehicles,127937
Services for the maintenance and repair of the dwelling,15477
Small electric household appliances,80330
Small tools and miscellaneous accessories,110665
Spare parts and accessories for vehicles,627487
Stock and bond commissions,165570
Taxi and limousine,47408
Telecommunication equipment,34570
Telecommunication services,947478
Therapeutic appliances and equipment,147730
Tobacco,774043
Transport,6634202
Trusteed pension funds,150117
University education,268420
Urban transit and interurban bus,214722
Used motor vehicles,528734
Veterinary and other services for pets,93914
Water supply and sanitation services,234324
